chemical,importance,quality
Light water,NA,Disambig
Molybdenum fluoride,NA,Disambig
Pregnanediol (disambiguation),NA,Disambig
Pregnanolone (disambiguation),NA,Disambig
Rhenium fluoride,NA,Disambig
Thallium hydroxide,NA,Disambig
Thallium oxide,NA,Disambig
Tin hydroxide,NA,Disambig
Titanium fluoride,NA,Disambig
"1,1,1,2-Tetrafluoroethane (data page) ",Low,List
Acetaldehyde (data page),Low,List
Acetic acid (data page),Low,List
Acetone (data page),Low,List
Acetonitrile (data page),Low,List
Alanine (data page),Low,List
Aluminium oxide (data page),Low,List
Ammonia (data page),Low,List
Aniline (data page),Low,List
Antimony trioxide (data page),Low,List
Arginine (data page),Low,List
Arsenic trioxide (data page),Low,List
Arsine (data page),Low,List
Asparagine (data page),Low,List
Aspartic acid (data page),Low,List
Avobenzone (data page),Low,List
Barium chloride (data page),Low,List
Barium hydroxide (data page),Low,List
Barium nitrate (data page),Low,List
Barium oxide (data page),Low,List
Benzene (data page),Low,List
Benzoyl peroxide (data page),Low,List
Beryllium oxide (data page),Low,List
Bismuth(III) oxide (data page),Low,List
Boric acid (data page),Low,List
Boron trioxide (data page),Low,List
Bromine pentafluoride (data page),Low,List
Bromine trifluoride (data page),Low,List
Bromoform (data page),Low,List
Bromophenol,Low,List
Butane (data page),Low,List
Butanone (data page),Low,List
C17H13ClN4,Low,List
C3-Benzenes,Low,List
C4-Benzenes,Low,List
C6H4O5,Low,List
Calcium chloride (data page),Low,List
Calcium hydroxide (data page),Low,List
Calcium sulfate (data page),Low,List
California Proposition 65 list of chemicals,Low,List
Carbon dioxide (data page),Low,List
Carbon disulfide (data page),Low,List
Carbon monoxide (data page),Low,List
Carbon tetrachloride (data page),Low,List
Chloric acid (data page),Low,List
Chlorobenzene (data page),Low,List
Chloroform (data page),Low,List
Chloromethane (data page),Low,List
Chlorophenol,Low,List
Cyclohexane (data page),Low,List
Dibromofluoromethane (data page),Low,List
Dichloromethane (data page),Low,List
Dictionary of natural phenols and polyphenols molecular formulas,Low,List
Diethyl ether (data page),Low,List
Dimethyl ether (data page),Low,List
Ethyl acetate (data page),Low,List
Ethylene (data page),Low,List
Formic acid (data page),Low,List
Glycerol (data page),Low,List
Hexafluoroethane (data page),Low,List
Hexane (data page),Low,List
Hydrogen iodide (data page),Low,List
List of androgen esters,Low,List
List of antiandrogens,Low,List
List of compounds with carbon number 11,Low,List
List of compounds with carbon number 14,Low,List
List of compounds with carbon number 15,Low,List
List of compounds with carbon number 16,Low,List
List of compounds with carbon number 18,Low,List
List of compounds with carbon number 21,Low,List
List of compounds with carbon number 22,Low,List
List of compounds with carbon number 23,Low,List
List of compounds with carbon number 24,Low,List
List of compounds with carbon number 4,Low,List
List of compounds with carbon number 6,Low,List
List of compounds with carbon number 8,Low,List
List of compounds with carbon number 9,Low,List
List of corticosteroid cyclic ketals,Low,List
List of countries by prevalence of cocaine use,Low,List
List of estrogen esters,Low,List
List of neurosteroids,Low,List
List of organic salts,Low,List
List of phosphodiesterase inhibitors,Low,List
List of progestogen esters,Low,List
List of steroid esters,Low,List
List of steroids,Low,List
Lithium chloride (data page),Low,List
Lithium tantalate (data page),Low,List
Methane (data page),Low,List
Methanol (data page),Low,List
Methylhydrazines,Low,List
Niobium fluoride,Low,List
Octafluoropropane (data page),Low,List
Pentane (data page),Low,List
Phosphorus tribromide (data page),Low,List
Phosphorus trifluoride (data page),Low,List
Potassium nitrate (data page),Low,List
Propan-1-ol (data page),Low,List
Propane (data page),Low,List
Pyridine (data page),Low,List
Sodium chloride (data page),Low,List
Sodium sulfate (data page),Low,List
Substituted amphetamine,Low,List
Terephthalic acid (data page),Low,List
Tetrachloroethylene (data page),Low,List
Tetrahydrofuran (data page),Low,List
Tetramethylethylenediamine (data page),Low,List
Vinyl bromide (data page),Low,List
Water (data page),Low,List
"1,2-Dichloroethane (data page) ",Unknown,List
"1,3-Butadiene (data page) ",Unknown,List
1-Hexene (data page),Unknown,List
25-NB,Unknown,List
Aluminium chloride (data page),Unknown,List
Aluminium sulfate (data page),Unknown,List
Androgen ester,Unknown,List
Dimethyl sulfoxide (data page),Unknown,List
Ethanol (data page),Unknown,List
Four-carbon molecule,Unknown,List
Fucose (data page),Unknown,List
Glossary of chemical formulas,Unknown,List
Highly hazardous chemical,Unknown,List
Index of pesticide articles,Unknown,List
Isopropyl alcohol (data page),Unknown,List
Lead(II) nitrate (data page),Unknown,List
List of 5?-reductase inhibitors,Unknown,List
List of androgens/anabolic steroids,Unknown,List
List of androgens/anabolic steroids (alternate),Unknown,List
List of compounds with carbon number 1,Unknown,List
List of compounds with carbon number 10,Unknown,List
List of compounds with carbon number 12,Unknown,List
List of compounds with carbon number 13,Unknown,List
List of compounds with carbon number 17,Unknown,List
List of compounds with carbon number 19,Unknown,List
List of compounds with carbon number 20,Unknown,List
List of compounds with carbon number 3,Unknown,List
List of compounds with carbon number 5,Unknown,List
List of compounds with carbon number 7,Unknown,List
List of corticosteroid esters,Unknown,List
List of corticosteroids,Unknown,List
List of estrogens,Unknown,List
List of hormonal alkylating antineoplastic agents,Unknown,List
List of progestogens,Unknown,List
List of selective estrogen receptor modulators,Unknown,List
List of steroidal antiandrogens,Unknown,List
Lutetium(III) oxide (data page),Unknown,List
M-Xylene (data page),Unknown,List
Menthol (data page),Unknown,List
NA/UN exceptions,Unknown,List
Nitrogen fluoride,Unknown,List
Potassium magnesium sulfate,Unknown,List
Pregnenolone (disambiguation),Unknown,List
Sodium magnesium sulfate,Unknown,List
Tin(II) chloride (data page),Unknown,List
Toluene (data page),Unknown,List
(2S)-2-amino-3-(3-methylimidazol-4-yl)propanoic acid,NA,NA
1H-Indole-3-propionate,NA,NA
"2,5-Dimethoxyphenethylamine ",NA,NA
"2-(3,4-Di-hydroxyphenyl)-ethanol ",NA,NA
2-Pyridone (data page),NA,NA
3-Formylindole,NA,NA
3-Hydroxy-3-methyl-butanoate,NA,NA
3-Hydroxy-3-methyl-butanoic acid,NA,NA
3-Hydroxy-3-methyl-butyric acid,NA,NA
3-Hydroxy-3-methyl butyric acid,NA,NA
3-Hydroxy-3-methylbutanoate,NA,NA
3-Hydroxy-3-methylbutanoic acid,NA,NA
3-Hydroxy-3-methylbutyrate,NA,NA
3-Hydroxy-3-methylbutyric acid,NA,NA
3-Hydroxy-isovaleric acid,NA,NA
3-Hydroxyisovalerate,NA,NA
3-Hydroxyisovaleric acid,NA,NA
3-Indoxylsulfate,NA,NA
3-Indoxylsulfuric acid,NA,NA
3-Indoxylsulphate,NA,NA
3-Indoxylsulphuric acid,NA,NA
3-Methyl-3-hydroxybutyrate,NA,NA
3-Methyl-3-hydroxybutyric acid,NA,NA
3-Methyl-L-histidine,NA,NA
3-O-methyl variegatic acid methyl ester,NA,NA
3-OH-Isovalerate,NA,NA
3-OH-Isovaleric acid,NA,NA
3-OH-isovalerate,NA,NA
3-OH-isovaleric acid,NA,NA
3-formylindole,NA,NA
3-hydroxy-3-methyl-butanoate,NA,NA
3-hydroxy-3-methyl-butanoic acid,NA,NA
3-hydroxy-3-methylbutanoate,NA,NA
3-hydroxy-3-methylbutanoic acid,NA,NA
3-hydroxy-3-methylbutyrate,NA,NA
3-hydroxy-3-methylbutyric acid,NA,NA
3-hydroxy-isovaleric acid,NA,NA
3-hydroxy 3-methylbutyric acid,NA,NA
3-hydroxyflavone,NA,NA
3-hydroxyisovalerate,NA,NA
3-hydroxyisovaleric acid,NA,NA
3-indoxylsulfate,NA,NA
3-indoxylsulfuric acid,NA,NA
3-indoxylsulphate,NA,NA
3-indoxylsulphuric acid,NA,NA
3-methyl-3-hydroxybutyric acid,NA,NA
3-methyl-L-histidine,NA,NA
3-methylhistidine,NA,NA
4-Methoxybenzoic acid,NA,NA
4-Vinylcyclohexene diepoxide,NA,NA
5-HT4 agonist,NA,NA
9-BBN,NA,NA
Absolute alcohol,NA,NA
Acidulated phosphate fluoride,NA,NA
Adamantamine,NA,NA
Adept (insect growth regulator),NA,NA
Alcohol ethoxylate,NA,NA
Aluminium (I) fluoride,NA,NA
Aluminium Selenide,NA,NA
Americium bromide,NA,NA
Americium fluoride,NA,NA
Americium iodide,NA,NA
Aminoglycoside-3'-phosphotransferase,NA,NA
Aminosalicylic acid,NA,NA
Ammonium vanadate,NA,NA
Amurensin,NA,NA
Androstenediol acetate,NA,NA
Anilinium chloride,NA,NA
Anisic acid,NA,NA
Apomorphine (data page),NA,NA
Apovincamine,NA,NA
B-Hydroxy-b-methylbutyrate,NA,NA
B-Hydroxy-b-methylbutyric acid,NA,NA
B-Hydroxyisovalerate,NA,NA
B-Hydroxyisovaleric acid,NA,NA
B-hydroxy-b-methylbutyrate,NA,NA
B-hydroxy-b-methylbutyric acid,NA,NA
B-hydroxy b-methylbutyrate,NA,NA
B-hydroxyisovalerate,NA,NA
B-hydroxyisovaleric acid,NA,NA
Benzazepines,NA,NA
Benzophenone-n,NA,NA
Benzoquinonetetracarboxilic acid,NA,NA
Beta-Hydroxy-Beta-methylbutyrate,NA,NA
Beta-Hydroxy-Beta-methylbutyric acid,NA,NA
Beta-Hydroxy-beta-methylbutyrate,NA,NA
Beta-Hydroxy-beta-methylbutyric acid,NA,NA
Beta-Hydroxy beta-methylbutyrate,NA,NA
Beta-Hydroxyisovalerate,NA,NA
Beta-Hydroxyisovaleric acid,NA,NA
Beta-hydroxy-beta-methylbutyrate,NA,NA
Beta-hydroxy-beta-methylbutyrate free acid,NA,NA
Beta-hydroxy-beta-methylbutyric acid,NA,NA
Beta-hydroxy beta-methylbutyrate,NA,NA
Beta-hydroxy beta-methylbutyric acid,NA,NA
Beta-hydroxyisovalerate,NA,NA
Beta-hydroxyisovaleric acid,NA,NA
Beta Hydroxy beta methylbutyrate,NA,NA
Beta barium borate,NA,NA
Betaenone,NA,NA
Bicyclo(6.2.0)decapentaene,NA,NA
Bioperine,NA,NA
Bis-triazinyl pyridine,NA,NA
Bismuthyl,NA,NA
Brucin,NA,NA
"Butanoic acid, 3-hydroxy-3-methyl- ",NA,NA
Butyne,NA,NA
C12H10O6,NA,NA
C12H13N,NA,NA
C14H21NO2S,NA,NA
C17H18N2O,NA,NA
C18H12O6,NA,NA
C3H4O,NA,NA
CDP choline,NA,NA
Caffeine (data page),NA,NA
Calcium beta-hydroxy-beta-methylbutyrate,NA,NA
Calcium hydroxymethylbutyrate,NA,NA
Calcium ?-hydroxy ?-methylbutyrate,NA,NA
Calcium ?-hydroxy ?-methylbutyrate monohydrate,NA,NA
Carbazol-9-yl-methanol,NA,NA
Cellulose sulfate,NA,NA
Chemotactic peptide,NA,NA
Chlorinated solvent,NA,NA
Chlorine acid,NA,NA
Chlorine oxide,NA,NA
Chloropropanol,NA,NA
Chromium(III) chromate,NA,NA
Chromopyrrolate synthase,NA,NA
Chrysanthenin,NA,NA
Copper(I) hydride,NA,NA
Copper(II) salicylate,NA,NA
Copper(II) sulfate pentahydrate,NA,NA
Copper (II) sulfide,NA,NA
Copper chlorophyll,NA,NA
Cortodoxone,NA,NA
Cu2S,NA,NA
Cyanic acid,NA,NA
Cyclohexadecaoctaene,NA,NA
Cyclosporins,NA,NA
DCPIP,NA,NA
DL-Phenylalanine,NA,NA
DL-Phosphinothricin,NA,NA
DMPEA,NA,NA
DNA topoisomerase (ATP-hydrolysing),NA,NA
Decyne,NA,NA
Deoxynivalenol,NA,NA
Desoxyvincaminol,NA,NA
Dibromopropane,NA,NA
Dichlorobutane,NA,NA
Dichlorophene,NA,NA
Dihydroxyacetonephosphate,NA,NA
Dihydroxybenzoic acid,NA,NA
Dihydroxybiphenyl,NA,NA
Diiodothyronine,NA,NA
Dimethoxybenzene,NA,NA
Dimethoxycoumarin,NA,NA
Dimethylbutane,NA,NA
Dimethylbutanol,NA,NA
Dinitrophenol,NA,NA
Dioxane (compounds),NA,NA
Diphenol,NA,NA
Dodecenyl succinic anhydride,NA,NA
Drierite,NA,NA
Ecstasy (drug),NA,NA
Eicosanoyl-5-hydroxytryptamide,NA,NA
Enzyme inhibition,NA,NA
Epicatechin,NA,NA
Ester-C,NA,NA
Ethane (data page),NA,NA
Ethylamphetamine,NA,NA
Ethylene glycol (data page),NA,NA
Ferric bromide,NA,NA
Ferrous bromide,NA,NA
Fmoc chloride,NA,NA
Gentian violet,NA,NA
Glycerol-3-phosphate dehydrogenase (acceptor),NA,NA
Gold(III) chloride chemdata supplement,NA,NA
Gold thioglucose,NA,NA
HDP-CDV,NA,NA
HMB (B-hydroxy B-methylbutyrate monohydrate),NA,NA
Heptafulvene,NA,NA
Hexahydroxynaphthoquinone,NA,NA
Hexanone,NA,NA
Hexyne,NA,NA
Hydrochloric acid (data page),NA,NA
Hydroxyisovalerate,NA,NA
Hydroxyisovaleric acid,NA,NA
Hydroxymethylbutyrate,NA,NA
Hypomide,NA,NA
Iba1,NA,NA
Indanthrene blue RS,NA,NA
Indium bromide,NA,NA
Indole-3-aldehyde,NA,NA
Indole-3-propionate,NA,NA
Indoxyl sulphate,NA,NA
Iron phosphate,NA,NA
Iron sulfate,NA,NA
Iso E Super,NA,NA
Isobutane (data page),NA,NA
Ivory Wave,NA,NA
Lead(II) chloride (data page),NA,NA
Lycopene (data page),NA,NA
MAP kinase phosphatase,NA,NA
MEAI,NA,NA
Magnesium L-threonate,NA,NA
Manganese oxide,NA,NA
Meratran,NA,NA
Mercury hydride,NA,NA
Methoxyhydroxyphenylglycol,NA,NA
Methylenedioxymethoxyamphetamine,NA,NA
Methylheptane,NA,NA
Methylhopane,NA,NA
Methylimidazole,NA,NA
Methylmagnesium bromide,NA,NA
Methylmorphine,NA,NA
Methylphenethylamine,NA,NA
Molybdenum trioxide (data page),NA,NA
Monobutyltin trichloride,NA,NA
Monomethylamine nitrate,NA,NA
Mononitrotoluene,NA,NA
Myocet,NA,NA
"N,?-Dimethylphenethylamine ",NA,NA
NBOMe,NA,NA
Nanographene,NA,NA
Niobium bromide,NA,NA
Niobium chloride,NA,NA
Nitrobenzaldehyde,NA,NA
Nitrobenzoic acid,NA,NA
Nitromethane (data page),NA,NA
Nitrosyl tetrafluoroborate,NA,NA
Nonyne,NA,NA
Nordefrin,NA,NA
O-Xylene (data page),NA,NA
Octyne,NA,NA
Orcin,NA,NA
Orotidylic acid,NA,NA
P-Xylene (data page),NA,NA
Padimate,NA,NA
Palmitoyl chain,NA,NA
Pentadecylamine,NA,NA
Pentanoic acid,NA,NA
Pentanone,NA,NA
Pentasilane,NA,NA
Perfluoroalkane,NA,NA
Phenolic resin,NA,NA
Phenols and polyphenols derivative,NA,NA
Phenolsulfonphthalein,NA,NA
Phosphonic acid,NA,NA
Phosphorus trichloride (data page),NA,NA
Phosphorus triiodide (data page),NA,NA
Phosphoryl chloride (data page),NA,NA
Phthalic acids,NA,NA
Poly(4-methyl-1-pentene),NA,NA
Poly,NA,NA
Polyoxyethylene,NA,NA
Polypyrophosphate,NA,NA
Potassium Aluminium Fluoride,NA,NA
Potassium alginate,NA,NA
Potassium amalgam,NA,NA
Potassium diacetate,NA,NA
Potassium hydrogenacetylenedicarboxylate,NA,NA
Potassium pentanoate,NA,NA
Pregnenolone carbonitrile,NA,NA
Prismane C8,NA,NA
Proanthocyanidin A2,NA,NA
Propyl iodide,NA,NA
Punicalagin alpha,NA,NA
Purpurin (protein),NA,NA
Pyrantel pamoate,NA,NA
REVIGOR,NA,NA
Recreational use of ketamine,NA,NA
Reserpinine,NA,NA
Resorcylic acid,NA,NA
Revigor,NA,NA
Ribopyranose,NA,NA
RubredoxinNAD(P)+ reductase,NA,NA
Ruthenium(IV) oxide (data page),NA,NA
S2P endopeptidase,NA,NA
S (chemical),NA,NA
Sanguinones,NA,NA
Silicon Dioxide,NA,NA
Silicon tetrachloride (data page),NA,NA
Silver(I) oxide,NA,NA
Silver hydroxide,NA,NA
Sodium alginate,NA,NA
Sodium citrate,NA,NA
Sodium myristate,NA,NA
Sodium palmate,NA,NA
Sodium tallowate,NA,NA
Stannic acid,NA,NA
Strictamine,NA,NA
Sulfur oxide,NA,NA
Synthetic cannabinoid,NA,NA
TEMPO (chemical compound),NA,NA
Tebufenpyrad infobox,NA,NA
Teflon,NA,NA
Tenoten,NA,NA
Termidor,NA,NA
Tetraethylene glycol,NA,NA
Tetrafluoride,NA,NA
Tetrahydroborates,NA,NA
Tetralone,NA,NA
Tetrasilane,NA,NA
Thiamine mononitrate,NA,NA
Thiolactic Acid,NA,NA
Titanium dioxide (B),NA,NA
Toluene diisocyanate (data page),NA,NA
Trichlorofluoromethane (data page),NA,NA
Triethylamine hydrochloride,NA,NA
Triphosphine,NA,NA
Trisulfide,NA,NA
Tungsten oxide,NA,NA
Ultrahard fullerite,NA,NA
Uranium(IV) chloride,NA,NA
Vincamajine,NA,NA
Vitexin (data page),NA,NA
Xenon monofluoride,NA,NA
Ytterbium(III) chloride (data page),NA,NA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
